Name: CCTV1, URL: http://1.70.32.120:8084/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 30 ms
Name: CCTV1, URL: http://171.117.73.233:8083/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 33 ms
Name: CCTV1, URL: http://114.243.102.64:4000/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-21, Resolution: 1920x1080, Response Time: 34 ms
Name: CCTV1, URL: http://27.11.60.108:8001/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 38 ms
Name: CCTV1, URL: http://110.179.81.198:8082/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 47 ms
Name: CCTV1, URL: http://110.178.52.91:8083/rtp/239.1.1.7:8007$1920x1080, Date: 2024-07-21, Resolution: 1920x1080, Response Time: 48 ms
Name: CCTV1, URL: http://101.27.106.176:8888/rtp/239.253.92.83:8012$1920x1080, Date: 2024-09-16, Resolution: 1920x1080, Response Time: 54 ms
Name: CCTV1, URL: http://1.70.34.51:8084/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 55 ms
Name: CCTV1, URL: http://171.213.141.51:9999/rtp/239.93.0.184:5140$1920x1080, Date: 2024-09-26, Resolution: 1920x1080, Response Time: 56 ms
Name: CCTV1, URL: http://183.185.220.165:8082/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 67 ms
Name: CCTV1, URL: http://110.178.52.75:8083/rtp/239.1.1.7:8007$1920x1080, Date: 2024-08-31, Resolution: 1920x1080, Response Time: 74 ms
Name: CCTV1, URL: http://119.98.133.99:4022/rtp/239.254.96.96:8550$1920x1080, Date: 2024-08-27, Resolution: 1920x1080, Response Time: 76 ms
Name: CCTV1, URL: http://sweetown.fun:4000/rtp/239.3.1.129:8008$1920x1080, Date: 2024-05-10, Resolution: 1920x1080, Response Time: 78 ms
Name: CCTV1, URL: http://171.117.201.100:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 86 ms
Name: CCTV1, URL: http://114.236.159.168:8001/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 98 ms
Name: CCTV1, URL: http://221.205.92.218:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 101 ms
Name: CCTV1, URL: http://221.198.182.240:8888/rtp/225.1.1.120:5002$1920x1080, Date: 2024-09-15, Resolution: 1920x1080, Response Time: 103 ms
Name: CCTV1, URL: http://119.98.124.146:4022/rtp/239.254.96.96:8550$1920x1080, Date: 2024-09-04, Resolution: 1920x1080, Response Time: 107 ms
Name: CCTV1, URL: http://183.185.67.240:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-18, Resolution: 1920x1080, Response Time: 113 ms
Name: CCTV1, URL: http://218.72.98.109:4022/rtp/233.50.201.222:5140$1920x1080, Date: 2024-09-27, Resolution: 1920x1080, Response Time: 117 ms
Name: CCTV1, URL: http://171.120.86.128:8085/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 120 ms
Name: CCTV1, URL: http://27.11.52.62:8001/rtp/225.0.4.74:7980$1920x1080, Date: 2024-07-29, Resolution: 1920x1080, Response Time: 120 ms
Name: CCTV1, URL: http://111.196.132.49:20000/rtp/239.3.1.129:8008$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV1, URL: http://223.10.11.187:8082/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-16, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV1, URL: http://171.117.245.185:8084/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-16, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV1, URL: http://27.11.60.108:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 127 ms
Name: CCTV1, URL: http://27.11.63.14:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 133 ms
Name: CCTV1, URL: http://218.5.30.201:4022/rtp/239.61.3.61:9884$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 134 ms
Name: CCTV1, URL: http://27.10.76.203:8005/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 137 ms
Name: CCTV1, URL: http://27.11.56.179:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 137 ms
Name: CCTV1, URL: http://223.10.19.222:8082/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-16, Resolution: 1920x1080, Response Time: 144 ms
Name: CCTV1, URL: http://223.215.52.103:58888/rtp/238.1.78.166:7200$1920x1080, Date: 2024-09-28, Resolution: 1920x1080, Response Time: 148 ms
Name: CCTV1, URL: http://219.145.19.118:5555/rtp/239.112.205.59:5140$1920x1080, Date: 2024-09-01, Resolution: 1920x1080, Response Time: 151 ms
Name: CCTV1, URL: http://223.10.11.187:8083/rtp/239.1.1.7:8007$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 155 ms
Name: CCTV1, URL: http://114.236.159.170:8001/rtp/239.49.8.129:6000$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 158 ms
Name: CCTV1, URL: http://113.251.228.172:7788/rtp/235.254.198.51:1480$1920x1080, Date: 2024-09-09, Resolution: 1920x1080, Response Time: 165 ms
Name: CCTV1, URL: http://119.98.134.206:5555/rtp/239.254.96.96:8550$1920x1080, Date: 2024-09-26, Resolution: 1920x1080, Response Time: 165 ms
Name: CCTV1, URL: http://27.11.54.45:8001/rtp/225.0.4.74:7980$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 167 ms
